Region,Data item,2020-21,2021-22,2022-23,2023-24
Australia,Sweet corn - Farm gate value ($m),131.9,149.8,117.6,133.0
New South Wales,Sweet corn - Production (t),"11,479","11,121","11,361","11,866"
New South Wales,Sweet corn - Farm gate value ($m),19.6,22.3,17.5,19.8
Victoria,Sweet corn - Production (t),"9,597","9,297","9,498","9,920"
Victoria,Sweet corn - Farm gate value ($m),16.4,18.6,14.6,16.6
Queensland,Sweet corn - Production (t),"53,962","52,279","53,406","55,783"
Queensland,Sweet corn - Farm gate value ($m),92.4,104.9,82.4,93.1
South Australia,Sweet corn - Production (t),1,1,1,1
South Australia,Sweet corn - Farm gate value ($m),0.0,0.0,0.0,0.0
Western Australia,Sweet corn - Production (t),"2,051","1,987","2,030","2,120"
Western Australia,Sweet corn - Farm gate value ($m),3.5,4.0,3.1,3.5
Australia,Sweet potatoes - Production (t),"104,006","93,172","91,458","89,203"
Australia,Sweet potatoes - Farm gate value ($m),91.3,66.5,69.2,69.6
New South Wales,Sweet potatoes - Production (t),"11,441","10,249","10,060","9,812"
New South Wales,Sweet potatoes - Farm gate value ($m),10.0,7.3,7.6,7.7
Queensland,Sweet potatoes - Production (t),"91,525","81,991","80,483","78,499"
Queensland,Sweet potatoes - Farm gate value ($m),80.4,58.5,60.9,61.2
Western Australia,Sweet potatoes - Production (t),"1,040",932,915,892
Western Australia,Sweet potatoes - Farm gate value ($m),0.9,0.7,0.7,0.7
Australia,Tomatoes - Production (t),"472,209","441,175","321,736","437,596"
Australia,Tomatoes - Farm gate value ($m),562.2,645.6,570.6,599.9
New South Wales,Tomatoes - Production (t),"23,816","44,310","43,128","45,530"
New South Wales,Tomatoes - Farm gate value ($m),28.4,64.8,109.6,62.4
Victoria,Tomatoes - Production (t),"305,606","266,771","151,984","259,228"
Victoria,Tomatoes - Farm gate value ($m),363.9,390.4,146.0,355.4
Queensland,Tomatoes - Production (t),"78,065","50,876","49,519","49,847"
Queensland,Tomatoes - Farm gate value ($m),92.9,74.5,93.8,68.3
South Australia,Tomatoes - Production (t),"44,860","59,559","57,970","61,341"
South Australia,Tomatoes - Farm gate value ($m),53.4,87.2,179.8,84.1
Western Australia,Tomatoes - Production (t),"19,256","17,990","17,510","19,440"
Western Australia,Tomatoes - Farm gate value ($m),22.9,26.3,37.2,26.7
Tasmania,Tomatoes - Production (t),606,"1,669","1,625","2,210"
Tasmania,Tomatoes - Farm gate value ($m),0.7,2.4,4.2,3.0
Australia,Zucchini - Production (t),"41,399","38,850","37,139","36,573"
Australia,Zucchini - Farm gate value ($m),84.4,80.0,64.9,55.1
New South Wales,Zucchini - Production (t),"8,030","7,535","7,204","7,094"
New South Wales,Zucchini - Farm gate value ($m),16.4,15.5,12.6,10.7
Victoria,Zucchini - Production (t),"10,938","10,264","9,812","9,662"
Victoria,Zucchini - Farm gate value ($m),22.3,21.2,17.2,14.6
Queensland,Zucchini - Production (t),"19,321","18,131","17,332","17,069"
Queensland,Zucchini - Farm gate value ($m),39.4,37.3,30.3,25.7
South Australia,Zucchini - Production (t),"1,432","1,344","1,285","1,265"
South Australia,Zucchini - Farm gate value ($m),2.9,2.8,2.2,1.9
Western Australia,Zucchini - Production (t),"1,564","1,468","1,403","1,381"
Western Australia,Zucchini - Farm gate value ($m),3.2,3.0,2.5,2.1
Tasmania,Zucchini - Production (t),92,87,83,82
Tasmania,Zucchini - Farm gate value ($m),0.2,0.2,0.1,0.1
Northern Territory,Zucchini - Production (t),22,21,20,20
Northern Territory,Zucchini - Farm gate value ($m),0.0,0.0,0.0,0.0
