Region,Data item,2020-21,2021-22,2022-23,2023-24
Victoria,Cabbage - Farm gate value ($m),10.2,15.1,18.1,16.7
Queensland,Cabbage - Production (t),"18,795","20,582","19,807","19,736"
Queensland,Cabbage - Farm gate value ($m),10.5,15.8,18.8,17.4
South Australia,Cabbage - Production (t),"1,705","1,867","1,797","1,790"
South Australia,Cabbage - Farm gate value ($m),1.0,1.4,1.7,1.6
Western Australia,Cabbage - Production (t),"5,250","5,750","5,533","5,513"
Western Australia,Cabbage - Farm gate value ($m),3.0,4.4,5.3,4.8
Tasmania,Cabbage - Production (t),268,293,282,281
Tasmania,Cabbage - Farm gate value ($m),0.2,0.2,0.3,0.2
Australia,Capsicums - Production (t),"81,751","71,403","73,719","81,408"
Australia,Capsicums - Farm gate value ($m),196.6,211.9,215.8,237.0
New South Wales,Capsicums - Production (t),"2,453","2,283","2,357","2,602"
New South Wales,Capsicums - Farm gate value ($m),5.9,6.0,6.1,7.6
Victoria,Capsicums - Production (t),"8,993","8,151","8,416","9,293"
Victoria,Capsicums - Farm gate value ($m),21.6,26.9,27.8,27.1
Queensland,Capsicums - Production (t),"53,954","38,075","39,310","43,411"
Queensland,Capsicums - Farm gate value ($m),129.8,103.5,104.4,126.3
South Australia,Capsicums - Production (t),"7,358","14,841","15,322","16,921"
South Australia,Capsicums - Farm gate value ($m),17.7,52.5,54.3,49.3
Western Australia,Capsicums - Production (t),"6,540","5,556","5,737","6,335"
Western Australia,Capsicums - Farm gate value ($m),15.7,14.7,14.7,18.4
Tasmania,Capsicums - Production (t),"2,453","2,497","2,577","2,846"
Tasmania,Capsicums - Farm gate value ($m),5.9,8.3,8.5,8.3
Australia,Carrots - Production (t),"335,527","306,394","300,715","298,821"
Australia,Carrots - Farm gate value ($m),256.0,247.9,261.7,239.7
New South Wales,Carrots - Production (t),"6,427","5,869","5,760","5,724"
New South Wales,Carrots - Farm gate value ($m),4.9,4.7,5.0,4.6
Victoria,Carrots - Production (t),"58,743","53,643","52,649","52,317"
Victoria,Carrots - Farm gate value ($m),44.8,43.5,45.8,42.0
Queensland,Carrots - Production (t),"34,437","31,447","30,864","30,670"
Queensland,Carrots - Farm gate value ($m),26.3,25.4,26.9,24.6
South Australia,Carrots - Production (t),"51,367","46,907","46,038","45,748"
South Australia,Carrots - Farm gate value ($m),39.2,38.0,40.1,36.7
Western Australia,Carrots - Production (t),"129,563","118,312","116,119","115,387"
Western Australia,Carrots - Farm gate value ($m),98.8,95.7,101.0,92.5
Tasmania,Carrots - Production (t),"54,990","50,216","49,285","48,975"
Tasmania,Carrots - Farm gate value ($m),42.0,40.6,42.9,39.3
Australia,Cauliflower - Production (t),"84,350","77,061","84,893","90,124"
Australia,Cauliflower - Farm gate value ($m),63.4,61.4,73.7,69.8
New South Wales,Cauliflower - Production (t),"11,752","10,736","11,828","12,557"
New South Wales,Cauliflower - Farm gate value ($m),8.8,8.6,10.3,9.7
Victoria,Cauliflower - Production (t),"36,887","33,700","37,123","39,411"
Victoria,Cauliflower - Farm gate value ($m),27.8,26.8,32.2,30.6
Queensland,Cauliflower - Production (t),"16,110","14,718","16,214","17,213"
Queensland,Cauliflower - Farm gate value ($m),12.1,11.7,14.1,13.3
South Australia,Cauliflower - Production (t),"4,159","3,800","4,186","4,444"
South Australia,Cauliflower - Farm gate value ($m),3.1,3.0,3.6,3.4
Western Australia,Cauliflower - Production (t),"8,898","8,129","8,956","9,507"
Western Australia,Cauliflower - Farm gate value ($m),6.7,6.5,7.8,7.4
Tasmania,Cauliflower - Production (t),"6,544","5,978","6,586","6,992"
Tasmania,Cauliflower - Farm gate value ($m),4.9,4.8,5.7,5.4
Australia,Celery - Production (t),"65,043","58,291","56,472","61,216"
Australia,Celery - Farm gate value ($m),60.5,65.2,72.1,57.6
New South Wales,Celery - Production (t),465,417,404,438
New South Wales,Celery - Farm gate value ($m),0.4,0.5,0.5,0.4
Victoria,Celery - Production (t),"37,523","33,627","32,579","35,315"
Victoria,Celery - Farm gate value ($m),35.0,37.5,41.6,33.3
Queensland,Celery - Production (t),"15,957","14,301","13,854","15,018"
Queensland,Celery - Farm gate value ($m),14.8,16.0,17.7,14.1
South Australia,Celery - Production (t),558,500,484,525
South Australia,Celery - Farm gate value ($m),0.5,0.6,0.6,0.5
Western Australia,Celery - Production (t),"9,380","8,406","8,144","8,828"
Western Australia,Celery - Farm gate value ($m),8.7,9.4,10.4,8.3
Tasmania,Celery - Production (t),"1,160","1,040","1,007","1,092"
Tasmania,Celery - Farm gate value ($m),1.1,1.2,1.3,1.0
Australia,Chillies - Production (t),"2,045","2,218","2,232","2,259"
Australia,Chillies - Farm gate value ($m),9.7,12.0,13.5,11.7
New South Wales,Chillies - Production (t),20,34,34,34
New South Wales,Chillies - Farm gate value ($m),0.1,0.2,0.2,0.2
Victoria,Chillies - Production (t),102,111,111,113
Victoria,Chillies - Farm gate value ($m),0.5,0.6,0.7,0.6
Queensland,Chillies - Production (t),"1,474","1,596","1,607","1,626"
Queensland,Chillies - Farm gate value ($m),7.0,8.6,9.7,8.3
Western Australia,Chillies - Production (t),429,465,468,474
Western Australia,Chillies - Farm gate value ($m),2.0,2.5,2.8,2.5
Northern Territory,Chillies - Production (t),20,12,12,12
Northern Territory,Chillies - Farm gate value ($m),0.1,0.1,0.1,0.1
Australia,Cucumbers - Production (t),"90,998","88,429","93,469","106,268"
Australia,Cucumbers - Farm gate value ($m),172.7,229.9,213.6,192.8
New South Wales,Cucumbers - Production (t),"8,190","9,046","9,561","10,871"
New South Wales,Cucumbers - Farm gate value ($m),15.5,23.7,22.0,19.7
Victoria,Cucumbers - Production (t),910,"11,347","11,994","13,636"
Victoria,Cucumbers - Farm gate value ($m),1.7,32.0,29.1,24.7
Queensland,Cucumbers - Production (t),"31,849","27,413","28,975","32,943"
Queensland,Cucumbers - Farm gate value ($m),60.4,73.9,68.4,59.8
South Australia,Cucumbers - Production (t),"39,129","30,113","31,829","36,187"
South Australia,Cucumbers - Farm gate value ($m),74.3,75.0,70.2,65.6
Western Australia,Cucumbers - Production (t),"9,100","7,460","7,885","8,965"
Western Australia,Cucumbers - Farm gate value ($m),17.3,17.7,16.7,16.3
Tasmania,Cucumbers - Production (t),455,"1,812","1,916","2,178"
Tasmania,Cucumbers - Farm gate value ($m),0.9,5.0,4.7,4.0
Northern Territory,Cucumbers - Production (t),"1,365","1,238","1,309","1,488"
Northern Territory,Cucumbers - Farm gate value ($m),2.6,2.6,2.5,2.7
Australia,Eggplant - Production (t),"9,177","8,271","8,698","9,558"
Australia,Eggplant - Farm gate value ($m),21.4,21.7,23.6,24.5
New South Wales,Eggplant - Production (t),"1,977","1,285","1,351","1,485"
New South Wales,Eggplant - Farm gate value ($m),4.6,3.2,3.5,3.8
Victoria,Eggplant - Production (t),988,"1,139","1,198","1,316"
Victoria,Eggplant - Farm gate value ($m),2.3,3.1,3.3,3.4
Queensland,Eggplant - Production (t),"4,694","3,321","3,492","3,837"
Queensland,Eggplant - Farm gate value ($m),10.9,8.4,9.4,9.9
South Australia,Eggplant - Production (t),494,"1,934","2,034","2,235"
South Australia,Eggplant - Farm gate value ($m),1.2,5.5,5.8,5.7
Western Australia,Eggplant - Production (t),777,452,476,523
Western Australia,Eggplant - Farm gate value ($m),1.8,1.2,1.3,1.3
Tasmania,Eggplant - Production (t),247,140,147,162
Tasmania,Eggplant - Farm gate value ($m),0.6,0.3,0.3,0.4
Australia,English spinach/Silverbeet/Kale - Production (t),"6,925","6,716","6,674","6,642"
Australia,English spinach/Silverbeet/Kale - Farm gate value ($m),22.2,23.5,25.5,22.4
New South Wales,English spinach/Silverbeet/Kale - Production (t),878,852,846,842
New South Wales,English spinach/Silverbeet/Kale - Farm gate value ($m),2.8,3.0,3.2,2.8
Victoria,English spinach/Silverbeet/Kale - Production (t),"3,121","3,026","3,007","2,993"
Victoria,English spinach/Silverbeet/Kale - Farm gate value ($m),10.0,10.6,11.6,10.2
Queensland,English spinach/Silverbeet/Kale - Production (t),"2,179","2,113","2,100","2,090"
Queensland,English spinach/Silverbeet/Kale - Farm gate value ($m),7.0,7.4,8.0,7.0
South Australia,English spinach/Silverbeet/Kale - Production (t),94,91,91,90
South Australia,English spinach/Silverbeet/Kale - Farm gate value ($m),0.3,0.3,0.3,0.3
Western Australia,English spinach/Silverbeet/Kale - Production (t),366,355,353,351
Western Australia,English spinach/Silverbeet/Kale - Farm gate value ($m),1.2,1.2,1.3,1.2
Tasmania,English spinach/Silverbeet/Kale - Production (t),287,279,277,276
Tasmania,English spinach/Silverbeet/Kale - Farm gate value ($m),0.9,1.0,1.1,0.9
Australia,Fennel - Production (t),"1,380","1,386","1,391","1,435"
Australia,Fennel - Farm gate value ($m),2.7,4.0,4.0,3.9
New South Wales,Fennel - Production (t),69,69,70,72
New South Wales,Fennel - Farm gate value ($m),0.1,0.2,0.2,0.2
Victoria,Fennel - Production (t),"1,104","1,109","1,112","1,148"
Victoria,Fennel - Farm gate value ($m),2.2,3.3,3.3,3.2
Queensland,Fennel - Production (t),152,152,153,158
Queensland,Fennel - Farm gate value ($m),0.3,0.4,0.4,0.4
South Australia,Fennel - Production (t),14,14,14,14
South Australia,Fennel - Farm gate value ($m),0.0,0.0,0.0,0.0
Western Australia,Fennel - Production (t),41,42,42,43
Western Australia,Fennel - Farm gate value ($m),0.1,0.1,0.1,0.1
Australia,Garlic - Production (t),"3,406","3,174","2,730","3,071"
Australia,Garlic - Farm gate value ($m),19.8,20.9,21.3,20.8
New South Wales,Garlic - Production (t),"1,022",952,819,912
New South Wales,Garlic - Farm gate value ($m),5.9,6.3,6.4,6.2
Victoria,Garlic - Production (t),"1,090","1,016",873,974
Victoria,Garlic - Farm gate value ($m),6.3,6.7,6.9,6.6
Queensland,Garlic - Production (t),579,540,464,517
Queensland,Garlic - Farm gate value ($m),3.4,3.6,3.6,3.5
South Australia,Garlic - Production (t),545,508,437,486
South Australia,Garlic - Farm gate value ($m),3.2,3.3,3.4,3.3
Western Australia,Garlic - Production (t),68,63,55,61
Western Australia,Garlic - Farm gate value ($m),0.4,0.4,0.4,0.4
Tasmania,Garlic - Production (t),102,95,82,91
Tasmania,Garlic - Farm gate value ($m),0.6,0.6,0.6,0.6
Northern Territory,Garlic - Production (t),0,0,0,30
Northern Territory,Garlic - Farm gate value ($m),0.0,0.0,0.0,0.2
Australia,Ginger - Production (t),"5,184","4,495","4,922","5,327"
Australia,Ginger - Farm gate value ($m),55.5,25.8,13.6,16.3
New South Wales,Ginger - Production (t),104,90,98,107
New South Wales,Ginger - Farm gate value ($m),1.1,0.5,0.3,0.3
Queensland,Ginger - Production (t),"5,080","4,405","4,824","5,220"
Queensland,Ginger - Farm gate value ($m),54.4,25.3,13.3,16.0
Australia,Leafy Asian vegetables - Production (t),"30,547","29,547","29,092","30,076"
Australia,Leafy Asian vegetables - Farm gate value ($m),71.7,86.2,91.2,82.4
New South Wales,Leafy Asian vegetables - Production (t),"13,031","12,604","12,408","12,828"
New South Wales,Leafy Asian vegetables - Farm gate value ($m),30.6,36.8,38.8,35.1
Victoria,Leafy Asian vegetables - Production (t),"7,297","7,058","6,950","7,185"
Victoria,Leafy Asian vegetables - Farm gate value ($m),17.1,20.6,21.8,19.7
Queensland,Leafy Asian vegetables - Production (t),"8,520","8,241","8,114","8,389"
Queensland,Leafy Asian vegetables - Farm gate value ($m),20.0,24.0,25.5,22.9
South Australia,Leafy Asian vegetables - Production (t),56,55,54,56
South Australia,Leafy Asian vegetables - Farm gate value ($m),0.1,0.2,0.2,0.2
Western Australia,Leafy Asian vegetables - Production (t),968,936,922,953
Western Australia,Leafy Asian vegetables - Farm gate value ($m),2.3,2.7,2.9,2.6
Tasmania,Leafy Asian vegetables - Production (t),26,25,25,26
Tasmania,Leafy Asian vegetables - Farm gate value ($m),0.1,0.1,0.1,0.1
Northern Territory,Leafy Asian vegetables - Production (t),649,628,619,639
Northern Territory,Leafy Asian vegetables - Farm gate value ($m),1.5,1.8,1.9,1.8
Australia,Leafy salad vegetables - Production (t),"74,571","78,495","75,720","78,329"
Australia,Leafy salad vegetables - Farm gate value ($m),495.0,589.2,736.5,688.3
New South Wales,Leafy salad vegetables - Production (t),"5,554","5,847","5,640","5,834"
New South Wales,Leafy salad vegetables - Farm gate value ($m),36.9,43.9,55.6,51.3
Victoria,Leafy salad vegetables - Production (t),"33,327","35,078","33,839","35,006"
Victoria,Leafy salad vegetables - Farm gate value ($m),221.2,262.2,325.8,307.6
Queensland,Leafy salad vegetables - Production (t),"20,630","21,716","20,948","21,670"
Queensland,Leafy salad vegetables - Farm gate value ($m),136.9,163.3,203.8,190.4
South Australia,Leafy salad vegetables - Production (t),"5,554","5,847","5,640","5,834"
South Australia,Leafy salad vegetables - Farm gate value ($m),36.9,43.9,55.6,51.3
Western Australia,Leafy salad vegetables - Production (t),"2,365","2,490","2,402","2,484"
Western Australia,Leafy salad vegetables - Farm gate value ($m),15.7,19.1,24.5,21.8
Tasmania,Leafy salad vegetables - Production (t),"7,141","7,517","7,251","7,501"
Tasmania,Leafy salad vegetables - Farm gate value ($m),47.4,56.8,71.2,65.9
Australia,Leeks - Production (t),"11,099","10,722","10,127","9,528"
Australia,Leeks - Farm gate value ($m),27.3,34.2,34.8,31.1
New South Wales,Leeks - Production (t),280,270,255,240
New South Wales,Leeks - Farm gate value ($m),0.7,0.9,0.9,0.8
Victoria,Leeks - Production (t),"6,273","6,060","5,724","5,386"
Victoria,Leeks - Farm gate value ($m),15.4,19.4,19.6,17.6
Queensland,Leeks - Production (t),822,794,750,705
Queensland,Leeks - Farm gate value ($m),2.0,2.5,2.6,2.3
South Australia,Leeks - Production (t),"1,006",972,918,864
South Australia,Leeks - Farm gate value ($m),2.5,3.1,3.2,2.8
Western Australia,Leeks - Production (t),"2,486","2,402","2,269","2,134"
Western Australia,Leeks - Farm gate value ($m),6.1,7.6,7.8,7.0
Tasmania,Leeks - Production (t),232,224,211,199
Tasmania,Leeks - Farm gate value ($m),0.6,0.7,0.7,0.6
Australia,Lettuce (head) - Production (t),"139,023","134,726","145,394","162,418"
Australia,Lettuce (head) - Farm gate value ($m),171.9,266.7,243.8,243.8
New South Wales,Lettuce (head) - Production (t),"7,543","7,310","7,889","8,813"
New South Wales,Lettuce (head) - Farm gate value ($m),9.3,14.5,13.2,13.2
Victoria,Lettuce (head) - Production (t),"59,848","57,998","62,590","69,918"
Victoria,Lettuce (head) - Farm gate value ($m),74.0,114.8,105.0,105.0
Queensland,Lettuce (head) - Production (t),"50,847","49,276","53,177","59,404"
Queensland,Lettuce (head) - Farm gate value ($m),62.9,97.6,89.2,89.2
South Australia,Lettuce (head) - Production (t),"6,632","6,427","6,936","7,748"
South Australia,Lettuce (head) - Farm gate value ($m),8.2,12.7,11.6,11.6
Western Australia,Lettuce (head) - Production (t),"13,679","13,256","14,306","15,981"
Western Australia,Lettuce (head) - Farm gate value ($m),16.9,26.2,24.0,24.0
Tasmania,Lettuce (head) - Production (t),474,459,496,554
Tasmania,Lettuce (head) - Farm gate value ($m),0.6,0.9,0.8,0.8
Australia,Mushrooms - Production (t),"68,936","63,901","61,633","56,941"
Australia,Mushrooms - Farm gate value ($m),393.1,420.9,409.4,382.8
New South Wales,Mushrooms - Production (t),"21,577","20,000","16,394","15,146"
New South Wales,Mushrooms - Farm gate value ($m),123.0,131.7,108.9,101.8
Victoria,Mushrooms - Production (t),"25,654","23,781","16,888","15,602"
Victoria,Mushrooms - Farm gate value ($m),146.4,156.7,112.2,104.8
Queensland,Mushrooms - Production (t),"4,283","3,971","8,320","7,687"
Queensland,Mushrooms - Farm gate value ($m),24.4,26.2,55.3,51.7
South Australia,Mushrooms - Production (t),"11,486","10,647","16,641","15,374"
South Australia,Mushrooms - Farm gate value ($m),65.5,70.1,110.5,103.4
Western Australia,Mushrooms - Production (t),"5,936","5,502","3,390","3,132"
Western Australia,Mushrooms - Farm gate value ($m),33.8,36.2,22.5,21.1
Australia,Onions - Production (t),"271,383","272,604","255,159","272,396"
Australia,Onions - Farm gate value ($m),202.7,253.4,332.7,290.9
New South Wales,Onions - Production (t),"5,428","5,582","5,225","5,578"
New South Wales,Onions - Farm gate value ($m),4.1,5.2,6.8,6.0
Victoria,Onions - Production (t),"16,283","17,061","15,969","17,048"
Victoria,Onions - Farm gate value ($m),12.2,15.9,20.8,18.2
Queensland,Onions - Production (t),"32,566","33,372","31,237","33,347"
Queensland,Onions - Farm gate value ($m),24.3,31.0,40.7,35.6
South Australia,Onions - Production (t),"130,264","129,781","121,476","129,682"
South Australia,Onions - Farm gate value ($m),97.2,120.6,158.5,138.5
Western Australia,Onions - Production (t),"27,138","26,091","24,421","26,071"
Western Australia,Onions - Farm gate value ($m),20.3,24.3,31.8,27.8
Tasmania,Onions - Production (t),"59,704","60,717","56,831","60,670"
Tasmania,Onions - Farm gate value ($m),44.6,56.4,74.1,64.8
Australia,Parsley and other fresh herbs excluding fennel - Production (t),"12,422","11,879","11,673","11,616"
Australia,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),227.1,266.5,313.3,264.5
New South Wales,Parsley and other fresh herbs excluding fennel - Production (t),"2,360","2,019","1,984","1,975"
New South Wales,Parsley and other fresh herbs excluding fennel - Farm gate value ($m),43.1,44.9,52.9,45.0
Victoria,Parsley and other fresh herbs excluding fennel - Production (t),"3,727","3,207","3,152","3,369"
