Region,Data item,2020-21,2021-22,2022-23,2023-24
New South Wales,Custard Apples - Farm gate value ($m),3.8,4.1,4.3,4.2
Queensland,Custard Apples - Production (t),948,847,683,877
Queensland,Custard Apples - Farm gate value ($m),4.0,4.3,4.6,4.5
Australia,Dried grapes - Production (t),"13,037","9,917","14,184","9,745"
Australia,Dried grapes - Farm gate value ($m),25.3,19.8,29.6,19.5
New South Wales,Dried grapes - Production (t),"2,216","1,686","2,411","1,657"
New South Wales,Dried grapes - Farm gate value ($m),4.3,3.4,5.0,3.3
Victoria,Dried grapes - Production (t),"10,430","7,933","11,347","7,796"
Victoria,Dried grapes - Farm gate value ($m),20.2,15.8,23.7,15.6
South Australia,Dried grapes - Production (t),391,298,426,292
South Australia,Dried grapes - Farm gate value ($m),0.8,0.6,0.9,0.6
Australia,Grapefruit - Production (t),"11,792","11,190","9,030","12,040"
Australia,Grapefruit - Farm gate value ($m),21.0,17.7,16.0,18.0
New South Wales,Grapefruit - Production (t),"3,714","3,523","4,130","5,600"
New South Wales,Grapefruit - Farm gate value ($m),6.5,5.6,7.3,8.3
Victoria,Grapefruit - Production (t),"2,087","1,981",805,"1,050"
Victoria,Grapefruit - Farm gate value ($m),3.7,3.1,1.4,1.6
Queensland,Grapefruit - Production (t),"1,769","1,679","1,435","2,135"
Queensland,Grapefruit - Farm gate value ($m),3.2,2.7,2.5,3.2
South Australia,Grapefruit - Production (t),"3,007","2,854","1,785","2,205"
South Australia,Grapefruit - Farm gate value ($m),5.4,4.5,3.2,3.3
Western Australia,Grapefruit - Production (t),590,560,665,735
Western Australia,Grapefruit - Farm gate value ($m),1.1,0.9,1.2,1.1
Northern Territory,Grapefruit - Production (t),625,593,210,315
Northern Territory,Grapefruit - Farm gate value ($m),1.1,0.9,0.4,0.5
Australia,Kiwifruit - Production (t),"6,933","6,903","3,893","4,310"
Australia,Kiwifruit - Farm gate value ($m),24.4,24.8,21.0,18.4
New South Wales,Kiwifruit - Production (t),700,697,393,398
New South Wales,Kiwifruit - Farm gate value ($m),2.5,2.5,2.1,1.7
Victoria,Kiwifruit - Production (t),"5,043","5,020","2,831","2,861"
Victoria,Kiwifruit - Farm gate value ($m),17.7,18.1,15.3,12.2
Queensland,Kiwifruit - Production (t),560,558,315,318
Queensland,Kiwifruit - Farm gate value ($m),2.0,2.0,1.7,1.4
South Australia,Kiwifruit - Production (t),630,628,354,358
South Australia,Kiwifruit - Farm gate value ($m),2.2,2.2,1.9,1.5
Western Australia,Kiwifruit - Production (t),0,0,0,375
Western Australia,Kiwifruit - Farm gate value ($m),0.0,0.0,0.0,1.6
Australia,Lemons and limes - Production (t),"59,914","66,004","73,120","83,332"
Australia,Lemons and limes - Farm gate value ($m),135.8,138.3,153.7,180.0
New South Wales,Lemons and limes - Production (t),"5,612","5,807","10,475","11,391"
New South Wales,Lemons and limes - Farm gate value ($m),12.7,12.2,22.0,24.6
Victoria,Lemons and limes - Production (t),"6,448","6,665","7,716","7,710"
Victoria,Lemons and limes - Farm gate value ($m),14.6,14.0,16.2,16.7
Queensland,Lemons and limes - Production (t),"37,740","42,610","42,136","51,078"
Queensland,Lemons and limes - Farm gate value ($m),85.6,89.2,88.6,110.3
South Australia,Lemons and limes - Production (t),"7,418","7,952","9,115","10,186"
South Australia,Lemons and limes - Farm gate value ($m),16.8,16.7,19.2,22.0
Western Australia,Lemons and limes - Production (t),"1,979","2,210","1,639","1,180"
Western Australia,Lemons and limes - Farm gate value ($m),4.5,4.6,3.4,2.5
Northern Territory,Lemons and limes - Production (t),717,760,"2,039","1,787"
Northern Territory,Lemons and limes - Farm gate value ($m),1.6,1.6,4.3,3.9
Australia,Lychees - Production (t),"2,283","2,072","3,215","2,100"
Australia,Lychees - Farm gate value ($m),32.0,41.9,47.8,38.0
New South Wales,Lychees - Production (t),23,21,32,"2,079"
New South Wales,Lychees - Farm gate value ($m),0.3,0.4,0.5,37.6
Queensland,Lychees - Production (t),"2,260","2,051","3,183",21
Queensland,Lychees - Farm gate value ($m),31.7,41.5,47.3,0.4
Australia,Mandarins - Production (t),"166,040","183,590","198,415","227,716"
Australia,Mandarins - Farm gate value ($m),323.6,336.4,368.3,435.3
New South Wales,Mandarins - Production (t),"2,490","2,753","24,220","29,368"
